№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
826,"Орлиста
(Orlista)",orlistat,Капсулы 120 мг №30 (3x10) (упаковки контурные ячейковые),Беларусь,"Лекфарм, СООО","Пищеварительный тракт и обмен веществ. Препараты для лечения ожирения, кроме диетических продуктов. Препараты периферического действия для лечения ожирения. Орлиста.",A08AB01,DV/X 11006/07/25,16/07/25,,по рецепту,,
827,"ОРНИЛАТЕКС®
(Ornilatex)",ornithine,Концентрат для приготовления раствора для инфузий 500 мг/мл 10 мл N10 (2х5) (ампулы),Россия,"Сотекс ФармФирма, ЗАО",Гепатопротектор,A05BA,DV/X 01524/04/16,01.04.16 15.06.21,,по рецепту,,
828,"ОРНИМЕД
(Ornimed)",ornidazole,"Таблетки, покрытые оболочкой 500 мг N10 (1х10), N20 (2х10) (блистеры)",Беларусь,"Рубикон, ООО",Противопротозойное средство. Средство для лечения амебиаза и других протозойных инфекций. Производное нитроимидазола,P01AB03,DV/X 04462/06/18,07.06.18 01.03.25,,по рецепту,,
829,"ОРО- СПРЕЙ
(ORO-sprey)",benzydamine,"Спрей для местного применения 1,5 мг/мл 30 мл (флаконы с насадкой распыляющей)",Беларусь,"Фортива Мед, ООО",Противовоспалительное средство местного действия,A01AD02,DV/X 09409/11/21,30/11/21,,без рецепта,,
830,"ОРТОФЕН
(ORTOFEN)",diclofenac,"Таблетки, покрытые кишечнорастворимой оболочкой 25 мг N30 (3x10) (блистеры)",Украина,"Технолог, ЧАО",Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические средства. Производные уксусной кислоты и родственные соединения. Диклофенак,M01AB05,DV/X 06141/05/19,06.05.19 01.07.25,,по рецепту,,
831,"ОСЕЛЬТАМИВИР АВЕКСИМА
(Oseltamivir Aveksima)",oseltamivir,"Капсулы 30 мг, 45 мг, 75 мг N10 (1х10) (упаковки контурные ячейковые)",Россия,"Авексима, ОАО произведено: Ирбитский химфармзавод, ОАО",Противовирусное средство,J05AH02,DV/X 09410/11/21,30/11/21,,по рецепту,,
832,"ОТИСФЕН
(Otisfen)",comb.drug (phenazone; lidocaine),Капли ушные 10 г (флаконы в комплекте с крышкой-капельницей),Беларусь,"Рубикон, ООО",Препарат для лечения заболевания уха. Анальгетик и анестетик,S02DA30,DV/X 05316/11/18,20.11.18 31.01.25,,без рецепта,,
833,"ОТОЛОРИН
(OTOLORIN)",procaine; boric acid*,Капли ушные 30 мг/20 мг 10 мл (флаконы),Россия,"Гротекс, ООО",Органы чувств. Препараты для лечения заболеваний уха. Другие препараты для лечения заболеваний уха,S02D,DV/X 07378/01/20,17.01.20 31.10.25,,без рецепта,,
834,"ОФЛОКАИН- ДАРНИЦА®
(Oflokain- darnitsa)",comb.drug (ofloxacin; lidocaine),Мазь 15 г (тубы),Украина,"Дарница, Фармацевтическая фирма, ЧАО",Антибиотик и химиотерапевтическое средство для лечения заболеваний кожи. Химиотерапевтическое средство для местного применения. Другое химиотерапевтическое средство,D06BX,DV/X 05463/12/18,07.12.18 20.12.24,,по рецепту,,
835,"ОФЛОКСАЦИН
(Ofloxacin)",ofloxacin,Раствор для инфузий 2 мг/мл 100 мл (флаконы),Россия,"Синтез, ПАО",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MА01,DV/X 04743/07/18,24.07.18 31.05.24,,по рецепту,,
836,"ОФЛОКСАЦИН
(Ofloxacinum)",ofloxacin,"Таблетки, покрытые пленочной оболочкой 200 мг, 400 мг N10 (1x10) (упаковки контурные ячейковые)",Россия,"Синтез, ПАО",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MА01,DV/X 04745/07/18,24.07.18 31.05.24,,по рецепту,,
837,"ОФЛОКСАЦИН
(Ofloxacinum)",ofloxacin,Раствор для инфузий 2 мг/мл 100 мл (бутылки стеклянные),Украина,"Юрия-Фарм, ООО",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA01,DV/X 02973/05/17,05.05.17 29.03.22,,по рецепту,,
838,"ОФЛОМЕЛИД®
(Oflomelid)",comb.drug (dioxomethyltetrahydropyrimidine*; lidocaine; ofloxacin),"Мазь для наружного применения 30 г, 50 г, 100 г (тубы)",Россия,"Синтез, ПАО",Антибиотик и химиотерапевтической средство для лечения заболеваний кожи. Химиотерапевтическое средство для местного применения. Другое химиотерапевтическое средство,D06BX,DV/X 04225/03/18,28.03.18 29.11.24,,по рецепту,,
839,"ОФТАЛЕК
(Oftalek)",methylethylpiridinol hydrochloride,"Раствор для инъекций 10 мг/мл 1 мл N10 (1х10), N10 (2х5) (ампулы)",Украина,"Лекхим-Харьков, ЧАО","Средство, применяемое в офтальмологии",C05CX,DV/X 03895/01/18,15.01.18 30.11.22,,по рецепту,,
840,"ОФТАЛЬМОДЕК
(Oftalmodec)",decamethoxine,"Капли глазные 0,2 мг/мл 5 мл (флаконы стеклянные с крышкой-капельницей)",Украина,"Укрфармэкспорт, ООО",Противомикробное средство,S01AX,DV/X 03896/01/18,15.01.18 28.08.23,введены изменения: 30.05.25,по рецепту,,
841,"ОФТАЛЬМОФЕРОН®
(Oftalmoferon)",comb.drug (interferon alfa-2b; diphenhydramine)*,Капли глазные 10 000 МЕ/мл + 1 мг/мл 10 мл (флаконы),Россия,"Фирн М, ООО",Иммуномодулирующее средство,S01AD05,DV/X 04599/07/18,06.07.18 07.08.24,,без рецепта,,
842,"ПАКЛИТАКСЕЛЬ КЕЛУН-КАЗФАРМ
(Paclitaxelum)",paclitaxel,"Концентрат для приготовления раствора для инфузий 30 мг/5 мл, 60 мг/10 мл,100 мг/16,7 мл N1 (флаконы)",Казахстан,"Kelun-Kazpharm, TOO",Противоопухолевое средство,L01CD01,DV/X 02207/10/16,04.10.16 10.09.21,,по рецепту,,
843,"ПАНАНГИН®
(Panangin)",comb.drug (potassium aspartate anhydrous; magnesium aspartate anhydrous)*,"Концентрат для раствора для инфузий 45,2 мг/мл+40 мг/мл 10 мл N5 (ампулы)",Россия,"Гедеон Рихтер, ОАО произведено: Сотекс, Фармфирма, ЗАО",Средство для коррекции метаболических процессов,A12CX,DV/X 09608/02/22,14/02/22,,по рецепту,,
844,"ПАНКРЕАЗИМ
(Pankreazim)",pancreatin*,"Таблетки кишечнорастворимые N20 (2x10), N50 (5x10) (блистеры)",Украина,"Технолог, ЧАО","Средство, улучшающее пищеварение, включая ферменты. Полиферментный препарат",А09АА02,DV/X 04909/08/18,13.08.18 28.03.25,,по рецепту,,
845,"ПАНКРЕАТИН ФОРТЕ 8000
(Pankreatin Forte 8000)",pancreatin*,"Таблетки, покрытые оболочкой кишечнорастворимые N50 (5х10) (упаковки контурные ячейковые)",Украина,"Тернофарм, ООО",Пищеварительное ферментное средство,А09АА02,DV/X 09664/03/22,04/03/22,,без рецепта,,
846,"ПАНКРЕАТИН ФОРТЕ
(Pankreatin Forte)",pancreatin*,"Таблетки кишечнорастворимые, покрытые пленочной оболочкой N20 (2х10) (упаковки контурные ячейковые)",Россия,"Биосинтез, ПАО",Пищеварительное ферментное средство,A09AA02,DV/X 08546/02/21,02/02/21,,без рецепта,,
847,"ПАНКРЕАТИН
(Pancreatin)",pancreatin*,"Таблетки, покрытые кишечнорастворимой оболочкой 25 ЕД N60 (6x10) (упаковки контурные ячейковые)",Россия,"Ирбитский ХФЗ, АО",Ферментное средство,А09АА02,DV/X 02189/09/16,23.09.16 04.08.21,введены изменения: 31.10.25,без рецепта,,
848,"ПАНКРИМ
(Pankrim)",pancreatin*,"Таблетки, покрытые кишечнорастворимой оболочкой N20 (2x10) (упаковки контурные ячейковые)",Казахстан,"Химфарм, АО","Пищеварительный тракт и обмен веществ. Препарат, способствующий пищеварению, включая ферменты. Ферментный препарат. Мультифермент (липаза, протеаза и т.д.)",A09AA02,DV/X 10604/04/24,18/04/24,,по рецепту,,
