№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
2178,"МИФОРТИК®
(Mifortik)",mycophenolic acid,"Таблетки, покрытые кишечнорастворимой оболочкой 180 мг, 360 мг N120 (12х10) (блистеры)",Германия,"Novartis Pharma AG, Швейцария произведено: Novartis Pharma Produktions GmbH, Германия упаковщик: Lek d.d., Словения",Иммунодепрессивное средство,L04AA06,DV/X 08616/02/21,12/02/21,введены изменения: 10.09.21,по рецепту,,,
844,"ГАЛЬВУСМET®
(GalvusMET)",comb.drug (vildagliptin; metformin hydrochloride),"Таблетки, покрытые пленочной оболочкой 50 мг/850 мг N30 (3х10), N60 (6х10); 50 мг/1000 мг N60 (6х10) (блистеры)",Германия,"Novartis Pharma AG, Швейцария произведено: Novartis Pharma Produktions GmbH, Германия, упаковщик: Novartis Saglik Gida ve Tarim Urunleri San. Ve Tic. A.S., Турция",Противодиабетическое средство (пероральное),A10BD08,DV/X 09326/10/21,11/10/21,,по рецепту,,,
498,"АФИНИТОР
(Afinitor)",everolimus,"Таблетки 5 мг, 10 мг N30 (3х10) (блистеры)",Швейцария,"Novartis Pharma AG, Швейцария произведено: Novartis Pharma Stein AG","Средство, влияющее на иммунитет (иммунодепрессант)",L01XE13,DV/X 02347/11/16,04.11.16 05.11.21,,по рецепту,,,
2961,"САНДОСТАТИН® ЛАР
(Sandostatin LAR)",octreotide,"Порошок (микросферы) для приготовления суспензии для инъекций 20 мг, 30 мг N1 (флаконы) в комплекте с растворителем по 2,0 мл N1 (предварительно наполненные шприцы), N1 (стерильная игла) и N1 адаптер для флакона",Швейцария,"Novartis Pharma AG, Швейцария произведено: Novartis Pharma Stein AG",Гормон гипофиза,Н01СВ02,DV/X 02631/02/17,03.02.17 14.02.22,введены изменения: 08.02.24,по рецепту,,,
3056,"СИМУЛЕКТ®
(Simulekt)",basiliximab,Лиофилизат для приготовления раствора для инъекций и инфузий 20 мг N1 (флаконы),Швейцария,"Novartis Pharma AG, Швейцария произведено: Novartis Pharma Stein AG",Иммунодепрессивное средство,L04AC02,DV/X 02982/05/17,19.05.17 04.03.22,введены изменения: 08.02.24,по рецепту,,,
3542,"ФЕМАРА®
(Femara)",letrozole,"Таблетки, покрытые пленочной оболочкой 2,5 мг N30 (3x10) (блистеры)",Швейцария,"Novartis Pharma AG, Швейцария произведено: Novartis Pharma Stein AG",Противоопухолевое средство,L02BG04,DV/X 03482/08/17,18.08.17 19.07.22,,по рецепту,,,
3543,"ФЕМАРА®
(Femara)",letrozole,"Таблетки, покрытые пленочной оболочкой 2,5 мг N30 (3х10) (блистеры)",Швейцария,"Novartis Pharma AG, Швейцария произведено: Novartis Pharma Stein AG, Швейцария, упаковщик Novartis Farma S.p.A., Италия",Противоопухолевое средство,L02BG04,DV/X 09001/06/21,15/06/21,,по рецепту,,,
842,"ГАЛЬВУС®
(Galvus®)",vildagliptin,Таблетки 50 мг N28 (2х14) (блистеры),Словения,"Novartis Pharma AG, Швейцария произведено: Novartis Pharmaceutical Manufacturing LLC",Противодиабетическое средство (пероральное),A10BH02,DV/X 10208/10/22,28/10/21,введены изменения: 18.10.24,по рецепту,,,
1566,"КИСКАЛИ®
(Kiskali)",ribociclib,"Таблетки, покрытые пленочной оболочкой 200 мг N21 (1х21), N63 (3х21) (блистеры)",Швейцария,"Novartis Pharma AG, Швейцария произведено: Novartis Singapore Pharmaceutical Manufacturing Pte. Ltd., Сингапур, упаковщик: Novartis Pharma Stein AG",Противоопухолевое средство,L01XE42,DV/X 09900/06/22,16/06/22,,по рецепту,,,
1567,"КИСКАЛИ®
(Kiskali)",ribociclib,"Таблетки, покрытые пленочной оболочкой 200 мг N21 (1х21), N63 (3х21) (блистеры)",Швейцария,"Novartis Pharma AG, Швейцария произведено: Novatris Singapore Pharmaceutical Manufacturing Pte. Ltd., Сингапур упаковщик: Novartis Pharma Produktions GmbH, Германия",Противоопухолевое средство,L01XE42,DV/X 08553/02/21,02/02/21,,по рецепту,,,
3355,"ТОБРАДЕКС
(Tobradeks)",comb.drug (tobramycin; dexamethasone),"Капли глазные, суспензия 5 мл N1 (флакон-капельницы)",Бельгия,"Novartis Pharma AG, Швейцария произведено: s.a. Alcon Couvreur n.v.","Средство, применяемое в офтальмологии",S01CA01,DV/X 03504/09/17,08.09.17 30.09.22,введены изменения: 28.08.23,по рецепту,,,
167,"АЗАРГА®
(Azarga)",comb.drug (brinzolamide; timolol),Капли глазные суспензия (10 мг/мл + 5 мг/мл) по 5 мл (флакон-капельницы),Бельгия,"Novartis Pharma AG, Швейцария произведено: s.a. Alcon-Couvreur n.v.",Противоглаукоматозное средство,S01ED51,DV/X 01204/12/15,25.12.15 29.12.20,,по рецепту,,,
3224,"ТАЙВЕРБ
(Tayverb)",lapatinib,"Таблетки, покрытые пленочной оболочкой 250 мг N70 (флаконы)",Румыния,"Novartis Pharma AG, Швейцария произведено: S.C. Sandoz S.R.L.",Обратимый ингибитор тирозинкиназы,L01XE07,DV/X 08788/04/21,09/04/21,,по рецепту,,,
821,"ВОТРИЕНТ
(Votrient)",pazopanib,"Таблетки, покрытые пленочной оболочкой 400 мг N30 (флаконы)",Испания,"Novartis Pharma AG, Швейцария произведено: Siegfried Barbera S.L.",Противоопухолевое средство. Ингибитор протеинкиназы,L01XE11,DV/X 10748/09/24,16/09/24,,по рецепту,,,
2795,"РЕВОЛЕЙД®
(Revoleyd)",eltrombopag,"Таблетки, покрытые пленочной оболочкой 25 мг, 50 мг N28 (4х7) (блистеры)",Испания,"Novartis Pharma AG, Швейцария произведено: Siegfried Barbera S.L.",Средство против диареи,A07DA03,DV/X 09206/08/21,04/08/21,введены изменения: 20.09.22,по рецепту,,,
3254,"ТАФИНЛАР®
(Tafinlar)",dabrafenib,Капсулы 75 мг N120 (флаконы),Словения,"Novartis Pharma AG, Швейцария произведено: Siegfried Barbera S.L., Испания; Упаковщик: Lek d.d.",Противоопухолевое средство,L01XE23,DV/X 09815/04/22,27/04/22,,по рецепту,,,
843,"ГАЛЬВУС®
(Tasigna)",vildagliptin,Таблетки 50 мг N28 (2х14); N56 (4х14) (блистеры),Испания,"Novartis Pharma AG, Швейцария произведено: Siegfried Barbera, S.L.",Противодиабетическое средство (пероральное),A10BH02,DV/X 02985/05/17,19.05.17 04.03.22,,по рецепту,,,
1066,"ДЖАДЕНУ™
(Djadenu)",deferasirox,"Таблетки, покрытые пленочной оболочкой 180 мг, 360 мг N30 (1х30) (блистеры)",Швейцария,"Novartis Pharma AG, Швейцария упаковщик Sandoz S.R.L, Румыния; производитель Novartis Pharma Stein AG","Средство, образующее хелатные соединения с железом",V03AC03,DV/X 09660/03/22,04/03/22,,по рецепту,,,
2006,"МАКСИТРОЛ®
(Maksitrol®)",dexamethasone; neomycin; polymyxin B,Капли глазные 5 мл (флакон-капельницы),Бельгия,"Novartis Pharma AG, Швейцария, произведено: Novartis Manufacturing NV","Средство, применяемое в офтальмологии",S01CA01,DV/X 06081/04/19,18.04.19 16.09.24,введены изменения: 15.10.25,по рецепту,,,
1568,"Кискали®
(Kiskali/ 
Kisqali®
Kiskali/ Kisqali®)",ribociclib,"Таблетки, покрытые пленочной оболочкой 200 мг №63 (3х21) (блистеры)",Словения,"Novartis Pharma AG, Швейцария, произведено: Novartis Pharmaceutical Manufacturing LLC",Противоопухолевые препараты и иммуномодуляторы. Противоопухолевые средства. Ингибиторы протеинкиназы. Рибоциклиб,L01EF02,DV/X 11132/11/25,28.11.25,,по рецепту,,,
2288,"НЕВАНАК®
(Nevanak)",nepafenac,"Капли глазные, суспензия 1 мг/мл 5 мл (флакон-капельницы)",Бельгия,"Novartis Pharma AG, Швейцария, произведено: s.a. Alcon-Couvreur n.v",Нестероидное противовоспалительное средство,S01BC10,DV/X 05486/12/18,07.12.18 28.06.24,,по рецепту,,,
1968,"ЛУЦЕНТИС®
(Lutsentis)",ranibizumab,"Раствор 10 мг/мл для инъекций по 0,23 мл N1 (флаконы) в комплекте с иглой фильтровальной N1",Швейцария,"Novartis Pharma AG., Швейцария произведено: Novartis Pharma Stein AG","Средство, преимущественно применяемое в офтальмологии",S01LA04,DV/X 05922/03/19,12.03.19 27.08.24,введены изменения: 27.12.24,по рецепту,,,
4081,"ЮПЕРИО™
(Yuperio)",comb.drug (sacubitril; valsartan),"Таблетки, покрытые пленочной оболочкой 24 мг/26 мг, 49 мг/51 мг, 97 мг/103 мг N28 (2х14) (блистеры)",Италия,"Novartis Pharma Services AG, Швейцария произведено: Novartis Farma S.р.A.",Антигипертензивное средство,C09DX04,DV/X 02685/02/17,17.02.17 04.03.22,,по рецепту,,,
4082,"ЮПЕРИО™
(Yuperio)",comb.drug (sacubitril; valsartan),"Таблетки, покрытые пленочной оболочкой 24 мг/26 мг, 49 мг/51 мг, 97 мг/103 мг N28 (2х14) (блистеры)",Сингапур,"Novartis Pharma Services AG, Швейцария произведено: Novartis Singapore Pharmaseutical Manufacturing Private Ltd, Сингапур упаковщик: Novartis Farma S.p.A., Италия",Антигипертензивное средство,C09DX04,DV/X 02686/02/17,17.02.17 04.03.22,,по рецепту,,,
1067,"ДЖАКАВИ
(Djakavi)",ruxolitinib,"Таблетки 5 мг, 15 мг N56 (4х14) (блистеры)",Швейцария,Novartis Pharma Stein AG,Противоопухолевое средство,L01XE18,DV/X 01665/05/16,06.05.16 25.05.21,введены изменения: 07.08.24,по рецепту,,,
1598,"КЛОБЕТОЛИН
(Klobetolin)",econazole,Пессарии вагинальные 150 мг N10 (2х5) (стрипы),Италия,"Novator Pharma LLP, Великобритания произведено Fulton medicinali S.p.A",Противогрибковое средство,G01AF05,DV/X 09862/05/22,13/05/22,,по рецепту,,,
1062,"ДЕТОПРОФ
(Detoprof)",etoricoxib,"Таблетки, покрытые пленочной оболочкой 60 мг N28 (2х14) (блистеры)",Испания,"Novator Pharma LLP, Великобритания произведено Laboratorios Normon, S.A.",Нестероидное противовоспалительное средство,M01AH05,DV/X 09848/04/22,27/04/22,,по рецепту,,,
