№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
1854,"ОРСА® ЦИНК
(Orsa® Rux)",comb.drug (zinc sulfate; dextrose; sodium chloride; potassium chloride; sodium citrate)*,"Раствор для приема внутрь 100 мл, 250 мл, 500 мл (флаконы полипропиленовые)",Узбекистан,"Jurabek Laboratories, СП ООО",Солевой раствор для пероральной регидратации,А07СА,DV/M 02761/09/19,20.09.19 30.04.25,,без рецепта
1855,"ОРТИКС
(Ortiks)",comb.drug (sorbitol; sodium lactate; sodium chloride; potassium chloride; magnesium chloride; calcium chloride)*,"Раствор для инфузий 100 мл, 200 мл (бутылки стеклянные, флаконы стеклянные)",Узбекистан,"Temur Med Farm, OOO","Кровезаменитель и перфузионный раствор. Раствор для внутривенного введения. Раствор, влияющий на водно-электролитный баланс. Электролит в комбинации с другими препаратами",В05BB04,DV/M 04754/12/24,27/12/24,введены изменения: 01.03.25,по рецепту
1856,"ОРТОФ-S
(Ortof-S)",comb.drug (diclofenac; omepazole)*,"Таблетки N10, N10 (1x10), N20 (2x10), N30 (3x10), N40 (4х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Samo, OOO",Нестероидное противовоспалительное средство,M01AB55,DV/M 03831/06/21,15/06/21,,без рецепта
1857,"ОРТОФЕН
(Ortofen)",diclofenac,"Таблетки, покрытые кишечнорастворимой оболочкой 25 мг №30 (3x10), №50 (5x10), №100 (10x10) (упаковки контурные ячейковые)",Узбекистан,"Navbahor Sanoat, OOО","Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты.
Производные уксусной кислоты и родственные соединения. Диклофенак",M01AB05,DV/M 05056/07/25,25.07.25,,по рецепту
1858,"ОСЕЛЬВИР®
(Oselvir)",oseltamivir*,Капсулы 75 мг N10 (1х10) (упаковки контурные ячейковые),Узбекистан,"Nobel Pharmsanoat, ИП OOO",Противовирусное средство,J05AH02,DV/M 03656/02/21,02/02/21,введены изменения: 13.04.22,по рецепту
1859,"ОСЛО
(Oslo)",comb.drug (sorbitol; sodium lactate; sodium chloride; calcium chloride dihydrate; potassium chloride; magnesium chloride hexahydrate),"Раствор для инфузий 100 мл, 200 мл, 250 мл, 400 мл, 500 мл (флаконы)",Узбекистан,"Samarkand England Eco-Medical, СП ООО",Солевой раствор,B05СB,DV/M 04518/07/23,21/07/23,введены изменения: 22.02.25,по рецепту
1860,"ОСТЕОФЛЕКС
(Osteofleks)",chondroitin sulfate*,Раствор для внутримышечного введения 200 мг/2 мл 2 мл №10 (2х5) (ампулы cтеклянные),Узбекистан,"ROMPHARM NS, СП ООО",Костно-мышечная система. Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты. Другие нестероидные противовоспалительные и противоревматические препараты. Хондроитина сульфат,М01АХ25,DV/M 05052/07/25,25.07.25,,по рецепту
1861,"ОСФОЛАЙТЕН
(Osfolayten)",creatine phosphate,"Порошок лиофилизированный для приготовления раствора для инъекций 1,0 г N1 (флаконы)",Узбекистан,"Remedy Group, СП ООО",Средство для коррекции метаболических процессов,C01EB06,DV/M 03808/05/21,25/05/21,,по рецепту
1862,"ОТИЛАЙТ
(Otilayt)",comb.drug (phenazone; lidocaine hydrochloride),Капли ушные 10 мл (флакон капельницы),Узбекистан,"Jurabek Laboratories, СП ООО",Средство для лечения заболеваний ЛОР- органов,S02DA30,DV/M 04184/07/22,19/07/22,,по рецепту
1863,"ОТОМИКС
(OTOMIKS)",lidocaine; beclometasone; clotrimazole; chloramphenicol,Капли ушные 5 мл (флаконы полимерные),Узбекистан,"Aseptica, OOO",Органы чувств. Препараты для лечения заболеваний уха. Кортикостероиды в комбинации с противомикробными средствами,S02CA,DV/M 05342/11/25,28.11.25,,по рецепту
1864,"Офладин
(Ofladin)",ofloxacin,"Раствор для инфузий 0,2 % 100 мл (бутылки стеклянные, флаконы стеклянные)",Узбекистан,"Temur Med Farm, ООО",Противомикробные препараты системного действие. Антибактериальное препараты системного действие. Фторхинолоны. Офлоксацин.,J01МA01,DV/M 02832/11/19,01.11.19 16.07.25,,По рецепту
1865,"ОФЛОКОРТ
(Oflokort)",ofloxacin,Раствор для инфузий 200 мг/ 100 мл 100 мл (флаконы полиэтиленовые),Узбекистан,"Remedy Group, СП ООО",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Антибактериальные препараты производные хинолона. Фторхинолоны. Офлоксацин.,J01MA01,DV/M 04990/07/25,01/07/25,,по рецепту
1866,"ОФЛОКСАЦИН
(Ofloksatsin)",ofloxacin,"Капсулы 200 мг N10 (1х10), N20 (2х10) (упаковки контурные ячейковые)",Узбекистан,"Radiks, OOO",Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Антибактериальный препарат производное хинолона. Фторхинолон. Офлоксацин,J01MA01,DV/M 00002/01/15,30.01.15 19.05.25,,по рецепту
1867,"ОФЛОКСАЦИН
(Ofloksatsin)",ofloxacin,Раствор для инфузий 2 мг/мл 100 мл (флаконы полипропиленовые),Узбекистан,"Radiks, OOO",Противомикробные препараты системного действие. Антибактериальные препараты системного действия. Фторхинолоны. Офлоксацин,J01МА01,DV/M 05083/08/25,13.08.25,,по рецепту
1868,"ОФЛОКСАЦИН
(Ofloksatsin)",ofloxacin,"Раствор для инфузий 0,2% 100 мл (флаконы)",Узбекистан,"River Med Pharm, OOO",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA01,DV/M 04639/05/24,13/05/24,,по рецепту
1869,"ОФЛОКСАЦИН
(Ofloxacinum)",ofloxacin,"Капсулы 400 мг N6, N10, N6 (1х6), N12 (2х6), N10, N10 (1х10), N20 (2х10) (упаковки контурные ячейковые)",Узбекистан,"Radiks, OOO",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA01,DV/M 01294/02/17,03.02.17 14.02.22,,по рецепту
1870,"ОФЛОКСАЦИН-NGP
(Ofloxacinum-NGP)",ofloxacin,Капсулы 400 мг N10; N10 (1x10) (упаковки контурные ячейковые),Узбекистан,"Neogalenpharm, ООО",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA01,DV/M 01174/11/16,18.11.16 30.11.21,введены изменения: 13.04.22,по рецепту
1871,"ОФЛОКСАЦИН-RG
(Ofloxacinum-RG)",ofloxacin,"Раствор для инфузий 200 мг/100 мл, 100 мл (флаконы)",Узбекистан,"Remedy Group, СП ООО",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA01,DV/M 00854/06/16,17.06.16 25.05.21,введены изменения: 24.11.23,по рецепту
1872,"ОФТАБРИНЗ
(Oftabrinz)",brinzolamide,"Капли глазные 1,0% 5 мл (флаконы-капельницы)",Узбекистан,"Jurabek Laboratories, СП ООО",Противоглаукоматозное средство,S01EC04,DV/M 04051/03/22,04/03/22,,по рецепту
1873,"ОФТАМЕКСИН
(Oftameksin)","comb.drug (cysteine, glycine; monoammonium glycyrrhizinate*)","Раствор для инъекций 10 мл N5 (1х5), N10 (2×5) (ампулы)",Узбекистан,"Remedy Group, СП ООО",Препарат для лечения заболеваний печени и желчевыводящих путей,А05ВА,DV/M 04735/11/24,29/11/24,,по рецепту
1874,"ОФТАТИМ
(Oftatim)",comb.drug (L-arginine hydrochloride*; carnitine),Раствор для инфузий 100 мл (флаконы),Узбекистан,"Remedy Group, СП ООО",Средство для коррекции метаболических процессов,B05XB,DV/M 04569/08/23,28/08/23,введены изменения: 08.02.24,по рецепту
1875,"ОФТИДИН
(Oftidin)",brimonidine; timolol,Капли глазные 5 мл (флаконы),Узбекистан,"Aseptica, OOO","Противоглаукомные препараты и миотические средства. Блокаторы β-адренорецепторов. Тимолол, комбинации.",S01ED51,DV/M 05026/07/25,16.07.25,,по рецепту
1876,"ОФТОВЕР
(Oftover)",levofloxacin,"Капли глазные и ушные 0,5% 5 мл (флаконы из полимера)",Узбекистан,"Aseptica, OOO","Органы чувств. Препараты, применяемые в офтальмологии. Противомикробные препараты. Фторхинолоны. Левофлоксацин",S01AE05,DV/M 05173/09/25,19.09.25,,по рецепту
1877,"ПАВИСИМЕР
(Pavisimer)",comb.drug (oleum curcumae; borneol),Суппозитории вагинальные N5 (1х5); N7 (1х7); N10 (2х5); N14 (2х7) (упаковки контурные ячейковые),Узбекистан,"Merrymed Farm, ООО","Средство, преимущественно применяемое в акушерстве и гинекологии",G02CX,DV/M 04261/09/22,30/09/22,,по рецепту
1878,"ПАГАМАКС® 25, 75, 150, 300
(Pagamaks 25, 75, 150, 300)",pregabalin,"Капсулы 25 мг, 75 мг N28 (2х14); 150 мг, 300 мг N28 (4х7) (упаковки контурные ячейковые)",Узбекистан,"Nobel Pharmsanoat, ИП ООО",Противосудорожное средство,N03AX16,DV/M 01343/03/17,06.03.17 13.04.22,,по рецепту
